ID,Structure,Content,Vocabulary,Grammar and Mechanics,Cohesion,Total
1747279,3,3,4,4.5,2,3.3
1747650,3.5,3,1.5,2.5,1,2.3
1745433,1.5,2,1,2,1,1.5
1747456,2,1,3,1,2,1.8
1745844,2.5,3,3,2,2,2.5
1745687,3.5,5,3,3.5,2,3.4
1746897,1.5,2,1,1.5,2,1.6
1747181,4,4,2.5,1.5,2,2.8
1746837,3.5,4.5,3,3.5,2.5,3.4
1747233,2.5,3,1.5,4,5,3.2
1750638,1.5,4,3,3.5,2.5,2.9
1747635,2,3,2,1,2,2
1748070,2,2,3,1,1.5,1.9
1744877,1.5,3.5,2,1,2,2
1746649,3.5,3,3,1.5,2,2.6
1750174,4,2.5,2.5,2,4.5,3.1
1750307,4,3,1,1.5,1.5,2.2
1747646,3.5,2.5,3.5,2.5,2.5,2.9
1747892,4,4,2,3.5,4.5,3.6
1740848,2,1.5,1.5,1.5,2,1.7
1746720,2,3,1.5,1,3,2.1
1750289,3,1,2,1,2,1.8
1746393,0,0,0,0,0,0
1750234,0,0,0,0,0,0
1747875,0,0,0,0,0,0
1747522,,,,,,
1744510,,,,,,
1745921,,,,,,
1747051,,,,,,
1748096,,,,,,